dynamic_range,method,seed,stochastic,shepard_p5__vs_ambient,shepard_p10__vs_ambient,shepard_p20__vs_ambient,shepard_p30__vs_ambient,shepard_p50__vs_ambient,shepard_p75__vs_ambient,shepard_p100__vs_ambient,stress_p5__vs_ambient,stress_fidelity_p5__vs_ambient,stress_p10__vs_ambient,stress_fidelity_p10__vs_ambient,stress_p20__vs_ambient,stress_fidelity_p20__vs_ambient,stress_p30__vs_ambient,stress_fidelity_p30__vs_ambient,stress_p50__vs_ambient,stress_fidelity_p50__vs_ambient,stress_p75__vs_ambient,stress_fidelity_p75__vs_ambient,stress_p100__vs_ambient,stress_fidelity_p100__vs_ambient,full_shepard,full_stress,full_stress_fidelity,shepard_p5__vs_truth,shepard_p10__vs_truth,shepard_p20__vs_truth,shepard_p30__vs_truth,shepard_p50__vs_truth,shepard_p75__vs_truth,shepard_p100__vs_truth,stress_p5__vs_truth,stress_fidelity_p5__vs_truth,stress_p10__vs_truth,stress_fidelity_p10__vs_truth,stress_p20__vs_truth,stress_fidelity_p20__vs_truth,stress_p30__vs_truth,stress_fidelity_p30__vs_truth,stress_p50__vs_truth,stress_fidelity_p50__vs_truth,stress_p75__vs_truth,stress_fidelity_p75__vs_truth,stress_p100__vs_truth,stress_fidelity_p100__vs_truth,recall_k5,recall_k15,recall_k30,trust_k5,trust_k15,trust_k30,cont_k5,cont_k15,cont_k30
2.0,PCA,0,False,0.28023112910772047,0.2890528468115566,0.31480978195499043,0.33724935243333265,0.3710631539456906,0.4182426191497039,0.5151414112320025,0.3969446882573101,0.6030553117426899,0.3989527927742208,0.6010472072257792,0.3970102478814876,0.6029897521185124,0.39563862697428864,0.6043613730257114,0.3949170108072077,0.6050829891927922,0.3944960842988805,0.6055039157011195,0.39088958838954135,0.6091104116104586,0.5151414112320025,0.39088958838954135,0.6091104116104586,0.28023112910772047,0.2890528468115566,0.31480978195499043,0.33724935243333265,0.3710631539456906,0.4182426191497039,0.5151414112320025,0.3969446882573101,0.6030553117426899,0.3989527927742208,0.6010472072257792,0.3970102478814876,0.6029897521185124,0.39563862697428864,0.6043613730257114,0.3949170108072077,0.6050829891927922,0.3944960842988805,0.6055039157011195,0.39088958838954135,0.6091104116104586,0.047799999999999995,0.10073333333333333,0.15443333333333334,0.7147618951612904,0.722654042988741,0.7237225074209883,0.8969830645161291,0.8724606618901398,0.855760677492579
2.0,Isomap,0,False,0.28833629036015845,0.2898431104900592,0.3099441016127489,0.32755501533931397,0.3573365689867603,0.39537751630122,0.4793802634985209,0.41961977280476515,0.5803802271952349,0.4186643753170835,0.5813356246829164,0.4152107405188621,0.5847892594811379,0.412803567327883,0.5871964326721171,0.40948300133411,0.59051699866589,0.40666699770532605,0.5933330022946739,0.39787049622120474,0.6021295037787953,0.4793802634985209,0.39787049622120474,0.6021295037787953,0.28833629036015845,0.2898431104900592,0.3099441016127489,0.32755501533931397,0.3573365689867603,0.39537751630122,0.4793802634985209,0.41961977280476515,0.5803802271952349,0.4186643753170835,0.5813356246829164,0.4152107405188621,0.5847892594811379,0.412803567327883,0.5871964326721171,0.40948300133411,0.59051699866589,0.40666699770532605,0.5933330022946739,0.39787049622120474,0.6021295037787953,0.054000000000000006,0.11233333333333334,0.16243333333333335,0.7287183467741936,0.7279699078812691,0.7299820848611839,0.9003445564516129,0.8796255885363358,0.8584391478959316
2.0,PyMDE,0,True,0.27445064706725714,0.3108260204512365,0.35386672691546367,0.38487687425467737,0.4505991664110101,0.531844056622276,0.6407598778030504,0.4664828309033865,0.5335171690966135,0.4507160335597879,0.549283966440212,0.42820665242419714,0.5717933475758028,0.41310764036875003,0.58689235963125,0.38832715650632993,0.61167284349367,0.3617752426494714,0.6382247573505286,0.33241850516950006,0.6675814948304999,0.6407598778030504,0.33241850516950006,0.6675814948304999,0.27445064706725714,0.3108260204512365,0.35386672691546367,0.38487687425467737,0.4505991664110101,0.531844056622276,0.6407598778030504,0.4664828309033865,0.5335171690966135,0.4507160335597879,0.549283966440212,0.42820665242419714,0.5717933475758028,0.41310764036875003,0.58689235963125,0.38832715650632993,0.61167284349367,0.3617752426494714,0.6382247573505286,0.33241850516950006,0.6675814948304999,0.054000000000000006,0.10513333333333333,0.15940000000000001,0.7200824596774194,0.7289903787103378,0.7362866072987603,0.8952245967741935,0.8746067553735926,0.8632021651824691
2.0,PyMDE,1,True,0.26985437287942926,0.31326302890774343,0.35544178163630236,0.3923827306552227,0.4553552935277735,0.5321256527715281,0.6444414209868428,0.47264527291481867,0.5273547270851813,0.4518181835759346,0.5481818164240654,0.42904029023378326,0.5709597097662167,0.4134030342331986,0.5865969657668014,0.3882399671731823,0.6117600328268177,0.36298535781547625,0.6370146421845237,0.33195068756266954,0.6680493124373305,0.6444414209868428,0.33195068756266954,0.6680493124373305,0.26985437287942926,0.31326302890774343,0.35544178163630236,0.3923827306552227,0.4553552935277735,0.5321256527715281,0.6444414209868428,0.47264527291481867,0.5273547270851813,0.4518181835759346,0.5481818164240654,0.42904029023378326,0.5709597097662167,0.4134030342331986,0.5865969657668014,0.3882399671731823,0.6117600328268177,0.36298535781547625,0.6370146421845237,0.33195068756266954,0.6680493124373305,0.053200000000000004,0.10433333333333333,0.15926666666666664,0.7337530241935484,0.7371397475264414,0.74279752051685,0.8964278225806451,0.8753551688843398,0.8633973459053605
2.0,PyMDE,2,True,0.2815349923209344,0.30813500181010667,0.34906151270693947,0.3873779869499288,0.45228842890071713,0.529770361538941,0.6444398209914247,0.4764825151427295,0.5235174848572706,0.4583736371889251,0.5416263628110749,0.4351732294139182,0.5648267705860819,0.41775994055740784,0.5822400594425922,0.39033621673589997,0.6096637832641001,0.3628451094448597,0.6371548905551403,0.33043366413416553,0.6695663358658345,0.6444398209914247,0.33043366413416553,0.6695663358658345,0.2815349923209344,0.30813500181010667,0.34906151270693947,0.3873779869499288,0.45228842890071713,0.529770361538941,0.6444398209914247,0.4764825151427295,0.5235174848572706,0.4583736371889251,0.5416263628110749,0.4351732294139182,0.5648267705860819,0.41775994055740784,0.5822400594425922,0.39033621673589997,0.6096637832641001,0.3628451094448597,0.6371548905551403,0.33043366413416553,0.6695663358658345,0.0508,0.10846666666666667,0.16256666666666666,0.7305754032258065,0.7384000682360969,0.7433924218613586,0.891860685483871,0.8735872398498805,0.8613672428845818
2.0,PyMDE,3,True,0.26830803267391135,0.31038590532899113,0.35526368101146594,0.39075785105764554,0.4559165666931834,0.5329492013774259,0.6423799966531013,0.4704449273906944,0.5295550726093057,0.4524723545217351,0.5475276454782649,0.4299106525025785,0.5700893474974216,0.414840666678975,0.585159333321025,0.38994349020505864,0.6100565097949413,0.3641796612993886,0.6358203387006114,0.33290315807254905,0.667096841927451,0.6423799966531013,0.33290315807254905,0.667096841927451,0.26830803267391135,0.31038590532899113,0.35526368101146594,0.39075785105764554,0.4559165666931834,0.5329492013774259,0.6423799966531013,0.4704449273906944,0.5295550726093057,0.4524723545217351,0.5475276454782649,0.4299106525025785,0.5700893474974216,0.414840666678975,0.585159333321025,0.38994349020505864,0.6100565097949413,0.3641796612993886,0.6358203387006114,0.33290315807254905,0.667096841927451,0.063,0.10926666666666666,0.16153333333333333,0.7400167338709678,0.7445685431593312,0.7490316745241837,0.8934306451612903,0.8725236438075742,0.8623905011349747
2.0,PyMDE,4,True,0.27255721576058317,0.31517139635909014,0.3537789911969789,0.3882537937466791,0.4533546422132319,0.5327593925068086,0.6439056276831325,0.4891228219987089,0.5108771780012911,0.46803887152688733,0.5319611284731127,0.4406867681019253,0.5593132318980747,0.42246338677902034,0.5775366132209796,0.39362450572301144,0.6063754942769886,0.3644184783407237,0.6355815216592763,0.3320116838035293,0.6679883161964707,0.6439056276831325,0.3320116838035293,0.6679883161964707,0.27255721576058317,0.31517139635909014,0.3537789911969789,0.3882537937466791,0.4533546422132319,0.5327593925068086,0.6439056276831325,0.4891228219987089,0.5108771780012911,0.46803887152688733,0.5319611284731127,0.4406867681019253,0.5593132318980747,0.42246338677902034,0.5775366132209796,0.39362450572301144,0.6063754942769886,0.3644184783407237,0.6355815216592763,0.3320116838035293,0.6679883161964707,0.054200000000000005,0.10313333333333333,0.1612,0.7291651209677419,0.7359770044353462,0.745139654269251,0.8869139112903226,0.8699223473217332,0.8584230137943076
2.0,PyMDE,5,True,0.2778571582671668,0.31892807731727557,0.36046585340644755,0.3927283736225969,0.4540672767108952,0.528042173926991,0.6363995690244073,0.47531407705651507,0.5246859229434849,0.4554892714821937,0.5445107285178064,0.429812915483857,0.570187084516143,0.41358950042419224,0.5864104995758077,0.3870540901226541,0.6129459098773459,0.36112784340252085,0.6388721565974791,0.33252891414150215,0.6674710858584978,0.6363995690244073,0.33252891414150215,0.6674710858584978,0.2778571582671668,0.31892807731727557,0.36046585340644755,0.3927283736225969,0.4540672767108952,0.528042173926991,0.6363995690244073,0.47531407705651507,0.5246859229434849,0.4554892714821937,0.5445107285178064,0.429812915483857,0.570187084516143,0.41358950042419224,0.5864104995758077,0.3870540901226541,0.6129459098773459,0.36112784340252085,0.6388721565974791,0.33252891414150215,0.6674710858584978,0.046400000000000004,0.09666666666666666,0.15233333333333335,0.7079955645161291,0.7182526782668031,0.7254220359699668,0.8843721774193548,0.8669032412146025,0.8560431639601886
2.0,PyMDE,6,True,0.27921424608059786,0.31177099503476186,0.35883855206263426,0.3933478280354044,0.45904567923445877,0.5381362668341276,0.650689545326251,0.469278758578172,0.5307212414218281,0.4519533084684,0.5480466915316,0.4292021469169151,0.5707978530830848,0.41331866845557974,0.5866813315444203,0.3880792297760015,0.6119207702239985,0.3609809347730478,0.6390190652269522,0.32910322920709034,0.6708967707929097,0.650689545326251,0.32910322920709034,0.6708967707929097,0.27921424608059786,0.31177099503476186,0.35883855206263426,0.3933478280354044,0.45904567923445877,0.5381362668341276,0.650689545326251,0.469278758578172,0.5307212414218281,0.4519533084684,0.5480466915316,0.4292021469169151,0.5707978530830848,0.41331866845557974,0.5866813315444203,0.3880792297760015,0.6119207702239985,0.3609809347730478,0.6390190652269522,0.32910322920709034,0.6708967707929097,0.0482,0.1114,0.16663333333333333,0.7417405241935484,0.7443222790856363,0.7495665444386241,0.8951058467741936,0.8760546571136131,0.8648888423258251
2.0,PyMDE,7,True,0.2772848801889193,0.3124374017760262,0.3537405834170722,0.38952391731986374,0.44906909440452003,0.5251988287841531,0.641078979585382,0.4795154317832947,0.5204845682167053,0.45617419714365676,0.5438258028563432,0.43176176644481185,0.5682382335551881,0.41427198354417794,0.5857280164558221,0.38912078443310255,0.6108792155668974,0.36344180660803777,0.6365581933919622,0.331405702772497,0.668594297227503,0.641078979585382,0.331405702772497,0.668594297227503,0.2772848801889193,0.3124374017760262,0.3537405834170722,0.38952391731986374,0.44906909440452003,0.5251988287841531,0.641078979585382,0.4795154317832947,0.5204845682167053,0.45617419714365676,0.5438258028563432,0.43176176644481185,0.5682382335551881,0.41427198354417794,0.5857280164558221,0.38912078443310255,0.6108792155668974,0.36344180660803777,0.6365581933919622,0.331405702772497,0.668594297227503,0.0502,0.11106666666666666,0.16403333333333334,0.729904435483871,0.7330122824974411,0.7402683429369652,0.8891066532258065,0.870979802115319,0.8592050637331936
