method,dim,metric,median,ci_lo,ci_hi,n_runs
DREAMS,200,shepard_p20__vs_truth,0.005161302218967161,0.005161302218967161,0.005161302218967161,1
DREAMS,200,full_shepard,0.25958848570907866,0.25958848570907866,0.25958848570907866,1
DREAMS,200,shepard_p5__vs_ambient,0.20995163555261753,0.20995163555261753,0.20995163555261753,1
DREAMS,200,knn_acc_k10,0.589,0.589,0.589,1
DREAMS,200,silhouette_2d,0.03049075506424603,0.03049075506424603,0.03049075506424603,1
DREAMS,200,tight_over_compression,0.009327493668925931,0.009327493668925931,0.009327493668925931,1
DREAMS,200,recall_k15,0.114,0.114,0.114,1
DREAMS,300,shepard_p100__vs_truth,0.06979334200135062,0.06979334200135062,0.06979334200135062,1
DREAMS,300,shepard_p20__vs_truth,-9.197131240443535e-06,-9.197131240443535e-06,-9.197131240443535e-06,1
DREAMS,300,full_shepard,0.2984302893947251,0.2984302893947251,0.2984302893947251,1
DREAMS,300,shepard_p5__vs_ambient,0.210839689994375,0.210839689994375,0.210839689994375,1
DREAMS,300,knn_acc_k10,0.537,0.537,0.537,1
DREAMS,300,silhouette_2d,0.01323799834315376,0.01323799834315376,0.01323799834315376,1
DREAMS,300,tight_over_compression,0.00834396483596015,0.00834396483596015,0.00834396483596015,1
DREAMS,300,recall_k15,0.0868,0.0868,0.0868,1
DREAMS,400,shepard_p100__vs_truth,0.005700961104468617,0.005700961104468617,0.005700961104468617,1
DREAMS,400,shepard_p20__vs_truth,0.002112748963070134,0.002112748963070134,0.002112748963070134,1
DREAMS,400,full_shepard,0.3689588045120796,0.3689588045120796,0.3689588045120796,1
DREAMS,400,shepard_p5__vs_ambient,0.22567851393631824,0.22567851393631824,0.22567851393631824,1
DREAMS,400,knn_acc_k10,0.381,0.381,0.381,1
DREAMS,400,silhouette_2d,-0.018234714547029775,-0.018234714547029775,-0.018234714547029775,1
DREAMS,400,tight_over_compression,0.007557013629763156,0.007557013629763156,0.007557013629763156,1
DREAMS,400,recall_k15,0.05906666666666667,0.05906666666666667,0.05906666666666667,1
DREAMS,500,shepard_p100__vs_truth,0.04368951795566853,0.04368951795566853,0.04368951795566853,1
DREAMS,500,shepard_p20__vs_truth,-0.0016969504164846805,-0.0016969504164846805,-0.0016969504164846805,1
DREAMS,500,full_shepard,0.4002376394074423,0.4002376394074423,0.4002376394074423,1
DREAMS,500,shepard_p5__vs_ambient,0.24873914350818588,0.24873914350818588,0.24873914350818588,1
DREAMS,500,knn_acc_k10,0.427,0.427,0.427,1
DREAMS,500,silhouette_2d,-0.018480667209407848,-0.018480667209407848,-0.018480667209407848,1
DREAMS,500,tight_over_compression,0.007783892825441632,0.007783892825441632,0.007783892825441632,1
DREAMS,500,recall_k15,0.0484,0.0484,0.0484,1
Isomap,6,shepard_p100__vs_truth,0.6749867251231058,0.6749867251231058,0.6749867251231058,1
Isomap,6,shepard_p20__vs_truth,0.0028513947910971,0.0028513947910971,0.0028513947910971,1
Isomap,6,full_shepard,0.74072488066823,0.74072488066823,0.74072488066823,1
Isomap,6,shepard_p5__vs_ambient,0.4817322404047702,0.4817322404047702,0.4817322404047702,1
Isomap,6,knn_acc_k10,1.0,1.0,1.0,1
Isomap,6,silhouette_2d,0.7918452645789724,0.7918452645789724,0.7918452645789724,1
Isomap,6,recall_k15,0.2779999999999999,0.2779999999999999,0.2779999999999999,1
Isomap,40,shepard_p100__vs_truth,0.659653590978501,0.659653590978501,0.659653590978501,1
Isomap,40,shepard_p20__vs_truth,-0.0054848692593751,-0.0054848692593751,-0.0054848692593751,1
Isomap,40,full_shepard,0.1763563352804692,0.1763563352804692,0.1763563352804692,1
Isomap,40,shepard_p5__vs_ambient,0.1938032914759077,0.1938032914759077,0.1938032914759077,1
Isomap,40,knn_acc_k10,0.973,0.973,0.973,1
Isomap,40,silhouette_2d,0.6261789296598983,0.6261789296598983,0.6261789296598983,1
Isomap,40,recall_k15,0.0488666666666666,0.0488666666666666,0.0488666666666666,1
Isomap,80,shepard_p100__vs_truth,0.2460719438746705,0.2460719438746705,0.2460719438746705,1
Isomap,80,shepard_p20__vs_truth,0.0063989070244905,0.0063989070244905,0.0063989070244905,1
Isomap,80,full_shepard,0.1146836003846641,0.1146836003846641,0.1146836003846641,1
Isomap,80,shepard_p5__vs_ambient,0.1237508934422567,0.1237508934422567,0.1237508934422567,1
Isomap,80,knn_acc_k10,0.757,0.757,0.757,1
Isomap,80,silhouette_2d,0.1566471907338727,0.1566471907338727,0.1566471907338727,1
Isomap,80,recall_k15,0.0328666666666666,0.0328666666666666,0.0328666666666666,1
Isomap,200,shepard_p100__vs_truth,0.0241907045451938,0.0241907045451938,0.0241907045451938,1
Isomap,200,shepard_p20__vs_truth,0.0072115514807919,0.0072115514807919,0.0072115514807919,1
Isomap,200,full_shepard,0.0971554163611717,0.0971554163611717,0.0971554163611717,1
Isomap,200,shepard_p5__vs_ambient,0.1082407321010877,0.1082407321010877,0.1082407321010877,1
Isomap,200,knn_acc_k10,0.416,0.416,0.416,1
Isomap,200,silhouette_2d,-0.0284179621339122,-0.0284179621339122,-0.0284179621339122,1
Isomap,200,recall_k15,0.025,0.025,0.025,1
Isomap,300,shepard_p100__vs_truth,0.014733486519008581,0.014733486519008581,0.014733486519008581,1
Isomap,300,shepard_p20__vs_truth,0.004643179094934551,0.004643179094934551,0.004643179094934551,1
Isomap,300,full_shepard,0.08113465937891627,0.08113465937891627,0.08113465937891627,1
Isomap,300,shepard_p5__vs_ambient,0.08919109791457214,0.08919109791457214,0.08919109791457214,1
Isomap,300,knn_acc_k10,0.371,0.371,0.371,1
Isomap,300,silhouette_2d,-0.03026397425599434,-0.03026397425599434,-0.03026397425599434,1
Isomap,300,recall_k15,0.025666666666666667,0.025666666666666667,0.025666666666666667,1
Isomap,400,shepard_p100__vs_truth,0.0056312307684037,0.0056312307684037,0.0056312307684037,1
Isomap,400,shepard_p20__vs_truth,-0.0002381686260502,-0.0002381686260502,-0.0002381686260502,1
Isomap,400,full_shepard,0.1013523113124729,0.1013523113124729,0.1013523113124729,1
Isomap,400,shepard_p5__vs_ambient,0.0829373958234915,0.0829373958234915,0.0829373958234915,1
Isomap,400,knn_acc_k10,0.345,0.345,0.345,1
Isomap,400,silhouette_2d,-0.026202384905267,-0.026202384905267,-0.026202384905267,1
Isomap,400,recall_k15,0.0205333333333333,0.0205333333333333,0.0205333333333333,1
Isomap,500,shepard_p100__vs_truth,0.007961977338064837,0.007961977338064837,0.007961977338064837,1
Isomap,500,shepard_p20__vs_truth,-0.0036183883690900287,-0.0036183883690900287,-0.0036183883690900287,1
Isomap,500,full_shepard,0.09947970688786657,0.09947970688786657,0.09947970688786657,1
Isomap,500,shepard_p5__vs_ambient,0.10693744140203616,0.10693744140203616,0.10693744140203616,1
Isomap,500,knn_acc_k10,0.341,0.341,0.341,1
Isomap,500,silhouette_2d,-0.020281025029428912,-0.020281025029428912,-0.020281025029428912,1
Isomap,500,tight_over_compression,0.007657571580784379,0.007657571580784379,0.007657571580784379,1
Isomap,500,recall_k15,0.02266666666666667,0.02266666666666667,0.02266666666666667,1
PCA,6,shepard_p100__vs_truth,0.7070699208631238,0.7070699208631238,0.7070699208631238,1
PCA,6,shepard_p20__vs_truth,0.0115006060321639,0.0115006060321639,0.0115006060321639,1
PCA,6,full_shepard,0.6265015029274331,0.6265015029274331,0.6265015029274331,1
PCA,6,shepard_p5__vs_ambient,0.4956619640351655,0.4956619640351655,0.4956619640351655,1
PCA,6,knn_acc_k10,1.0,1.0,1.0,1
PCA,6,silhouette_2d,0.9530000537986192,0.9530000537986192,0.9530000537986192,1
PCA,6,recall_k15,0.3681999999999999,0.3681999999999999,0.3681999999999999,1
PCA,40,shepard_p100__vs_truth,0.6677044814379217,0.6677044814379217,0.6677044814379217,1
PCA,40,shepard_p20__vs_truth,-0.0001796182480429,-0.0001796182480429,-0.0001796182480429,1
PCA,40,full_shepard,0.2579862767949745,0.2579862767949745,0.2579862767949745,1
PCA,40,shepard_p5__vs_ambient,0.1828435101308989,0.1828435101308989,0.1828435101308989,1
PCA,40,knn_acc_k10,0.999,0.999,0.999,1
PCA,40,silhouette_2d,0.6996696780335506,0.6996696780335506,0.6996696780335506,1
PCA,40,recall_k15,0.0706666666666666,0.0706666666666666,0.0706666666666666,1
PCA,80,shepard_p100__vs_truth,0.5035784731335335,0.5035784731335335,0.5035784731335335,1
PCA,80,shepard_p20__vs_truth,0.0002665834860368,0.0002665834860368,0.0002665834860368,1
PCA,80,full_shepard,0.1768354257041612,0.1768354257041612,0.1768354257041612,1
PCA,80,shepard_p5__vs_ambient,0.1029081110762921,0.1029081110762921,0.1029081110762921,1
PCA,80,knn_acc_k10,0.918,0.918,0.918,1
PCA,80,silhouette_2d,0.4243602961394155,0.4243602961394155,0.4243602961394155,1
PCA,80,recall_k15,0.047,0.047,0.047,1
PCA,200,shepard_p100__vs_truth,0.0603219169511713,0.0603219169511713,0.0603219169511713,1
PCA,200,shepard_p20__vs_truth,-8.736910150932071e-05,-8.736910150932071e-05,-8.736910150932071e-05,1
PCA,200,full_shepard,0.1358321674402575,0.1358321674402575,0.1358321674402575,1
PCA,200,shepard_p5__vs_ambient,0.0405402494601719,0.0405402494601719,0.0405402494601719,1
PCA,200,knn_acc_k10,0.483,0.483,0.483,1
PCA,200,silhouette_2d,-0.004184285444389,-0.004184285444389,-0.004184285444389,1
PCA,200,recall_k15,0.0251333333333333,0.0251333333333333,0.0251333333333333,1
PCA,300,shepard_p100__vs_truth,0.0792098333966573,0.0792098333966573,0.0792098333966573,1
PCA,300,shepard_p20__vs_truth,-0.003540459277765615,-0.003540459277765615,-0.003540459277765615,1
PCA,300,full_shepard,0.13208108443336591,0.13208108443336591,0.13208108443336591,1
PCA,300,shepard_p5__vs_ambient,0.06252140406753402,0.06252140406753402,0.06252140406753402,1
PCA,300,knn_acc_k10,0.517,0.517,0.517,1
PCA,300,silhouette_2d,0.006818478285474147,0.006818478285474147,0.006818478285474147,1
PCA,300,recall_k15,0.027533333333333333,0.027533333333333333,0.027533333333333333,1
PCA,400,shepard_p100__vs_truth,0.0097537512109108,0.0097537512109108,0.0097537512109108,1
PCA,400,shepard_p20__vs_truth,-0.002443609593034,-0.002443609593034,-0.002443609593034,1
PCA,400,full_shepard,0.1410013869557681,0.1410013869557681,0.1410013869557681,1
PCA,400,shepard_p5__vs_ambient,0.0251665414586242,0.0251665414586242,0.0251665414586242,1
PCA,400,knn_acc_k10,0.403,0.403,0.403,1
PCA,400,silhouette_2d,-0.0170939162730258,-0.0170939162730258,-0.0170939162730258,1
PCA,400,recall_k15,0.0242666666666666,0.0242666666666666,0.0242666666666666,1
PCA,500,shepard_p100__vs_truth,0.05533742011253711,0.05533742011253711,0.05533742011253711,1
PCA,500,shepard_p20__vs_truth,0.0069342630481061705,0.0069342630481061705,0.0069342630481061705,1
PCA,500,full_shepard,0.11704987108152409,0.11704987108152409,0.11704987108152409,1
PCA,500,shepard_p5__vs_ambient,0.05123067746561023,0.05123067746561023,0.05123067746561023,1
PCA,500,knn_acc_k10,0.464,0.464,0.464,1
PCA,500,silhouette_2d,-0.016643772635145094,-0.016643772635145094,-0.016643772635145094,1
PCA,500,tight_over_compression,0.007950646382994602,0.007950646382994602,0.007950646382994602,1
PCA,500,recall_k15,0.021733333333333334,0.021733333333333334,0.021733333333333334,1
PCC,6,shepard_p100__vs_truth,0.6260545918159373,0.6152363189944272,0.6275554792834219,3
PCC,6,shepard_p20__vs_truth,-0.0011102255686383,-0.0022880545277523,0.0055995072214295,3
PCC,6,full_shepard,0.7779863072126126,0.7725821698826032,0.785239851404599,3
PCC,6,shepard_p5__vs_ambient,0.3335946599307849,0.3223590567490627,0.3533140696333826,3
PCC,6,knn_acc_k10,0.994,0.987,0.996,3
PCC,6,silhouette_2d,0.7020744149333084,0.6952139770153248,0.7099406890817826,3
PCC,6,recall_k15,0.2772666666666666,0.2748,0.2791333333333333,3
PCC,40,shepard_p100__vs_truth,0.2548446546194529,0.2086369338083317,0.263713598721655,3
PCC,40,shepard_p20__vs_truth,0.0077478721873192,0.0068596904281581,0.0142452186017577,3
PCC,40,full_shepard,0.6097866676130398,0.6091657086544096,0.6120213063199398,3
PCC,40,shepard_p5__vs_ambient,0.2371203975618666,0.2318947078158954,0.2376714878555968,3
PCC,40,knn_acc_k10,0.964,0.952,0.967,3
PCC,40,silhouette_2d,0.3182426287414781,0.2551676424090044,0.3268385135877026,3
PCC,40,recall_k15,0.0648666666666666,0.0626,0.0649333333333333,3
PCC,80,shepard_p100__vs_truth,0.0893272791611109,0.0361797601731681,0.0927513521820788,3
PCC,80,shepard_p20__vs_truth,-0.0086104283161822,-0.0138482373181862,-0.0078211026363636,3
PCC,80,full_shepard,0.5801219352569279,0.577281751754067,0.5817891105765048,3
PCC,80,shepard_p5__vs_ambient,0.1955477453248498,0.191526942796938,0.1984685759034113,3
PCC,80,knn_acc_k10,0.717,0.54,0.752,3
PCC,80,silhouette_2d,0.0502157179154279,-0.0003756663589266,0.0599137924836727,3
PCC,80,recall_k15,0.0374666666666666,0.0344666666666666,0.0385333333333333,3
