dataset,snr,method,metric,stochastic,n_runs,median,mean,std,ci_lo,ci_hi
clusters,1.0,Isomap,stress_p75__vs_ambient,False,1,0.415443121904834,0.415443121904834,0.0,0.415443121904834,0.415443121904834
clusters,1.0,Isomap,stress_fidelity_p75__vs_ambient,False,1,0.584556878095166,0.584556878095166,0.0,0.584556878095166,0.584556878095166
clusters,1.0,Isomap,stress_p100__vs_ambient,False,1,0.3993186017071002,0.3993186017071002,0.0,0.3993186017071002,0.3993186017071002
clusters,1.0,Isomap,stress_fidelity_p100__vs_ambient,False,1,0.6006813982928998,0.6006813982928998,0.0,0.6006813982928998,0.6006813982928998
clusters,1.0,Isomap,pp_shepard_p5__vs_ambient,False,1,-0.0405509391949005,-0.0405509391949005,0.0,-0.0405509391949005,-0.0405509391949005
clusters,1.0,Isomap,pp_shepard_p10__vs_ambient,False,1,-0.051436696943088,-0.051436696943088,0.0,-0.051436696943088,-0.051436696943088
clusters,1.0,Isomap,pp_shepard_p20__vs_ambient,False,1,0.5142358307678457,0.5142358307678457,0.0,0.5142358307678457,0.5142358307678457
clusters,1.0,Isomap,pp_shepard_p30__vs_ambient,False,1,0.6426851222934548,0.6426851222934548,0.0,0.6426851222934548,0.6426851222934548
clusters,1.0,Isomap,pp_shepard_p50__vs_ambient,False,1,0.5326275206077609,0.5326275206077609,0.0,0.5326275206077609,0.5326275206077609
clusters,1.0,Isomap,pp_shepard_p75__vs_ambient,False,1,0.4078402800337249,0.4078402800337249,0.0,0.4078402800337249,0.4078402800337249
clusters,1.0,Isomap,pp_shepard_p100__vs_ambient,False,1,0.3368580141343695,0.3368580141343695,0.0,0.3368580141343695,0.3368580141343695
clusters,1.0,Isomap,full_shepard,False,1,0.3368580141343704,0.3368580141343704,0.0,0.3368580141343704,0.3368580141343704
clusters,1.0,Isomap,full_stress,False,1,0.3993186017071002,0.3993186017071002,0.0,0.3993186017071002,0.3993186017071002
clusters,1.0,Isomap,full_stress_fidelity,False,1,0.6006813982928998,0.6006813982928998,0.0,0.6006813982928998,0.6006813982928998
clusters,1.0,Isomap,shepard_p5__vs_truth,False,1,0.017335968741829,0.017335968741829,0.0,0.017335968741829,0.017335968741829
clusters,1.0,Isomap,shepard_p10__vs_truth,False,1,0.0176782061465636,0.0176782061465636,0.0,0.0176782061465636,0.0176782061465636
clusters,1.0,Isomap,shepard_p20__vs_truth,False,1,0.5406833039124512,0.5406833039124512,0.0,0.5406833039124512,0.5406833039124512
clusters,1.0,Isomap,shepard_p30__vs_truth,False,1,0.6512642796200417,0.6512642796200417,0.0,0.6512642796200417,0.6512642796200417
clusters,1.0,Isomap,shepard_p50__vs_truth,False,1,0.536532606202765,0.536532606202765,0.0,0.536532606202765,0.536532606202765
clusters,1.0,Isomap,shepard_p75__vs_truth,False,1,0.4138015412741413,0.4138015412741413,0.0,0.4138015412741413,0.4138015412741413
clusters,1.0,Isomap,shepard_p100__vs_truth,False,1,0.3401218474239039,0.3401218474239039,0.0,0.3401218474239039,0.3401218474239039
clusters,1.0,Isomap,stress_p5__vs_truth,False,1,0.5752367873760286,0.5752367873760286,0.0,0.5752367873760286,0.5752367873760286
clusters,1.0,Isomap,stress_fidelity_p5__vs_truth,False,1,0.4247632126239714,0.4247632126239714,0.0,0.4247632126239714,0.4247632126239714
clusters,1.0,Isomap,stress_p10__vs_truth,False,1,0.5816729962723771,0.5816729962723771,0.0,0.5816729962723771,0.5816729962723771
clusters,1.0,Isomap,stress_fidelity_p10__vs_truth,False,1,0.4183270037276229,0.4183270037276229,0.0,0.4183270037276229,0.4183270037276229
clusters,1.0,Isomap,stress_p20__vs_truth,False,1,0.4697358162013167,0.4697358162013167,0.0,0.4697358162013167,0.4697358162013167
clusters,1.0,Isomap,stress_fidelity_p20__vs_truth,False,1,0.5302641837986832,0.5302641837986832,0.0,0.5302641837986832,0.5302641837986832
clusters,1.0,Isomap,stress_p30__vs_truth,False,1,0.4170653382794733,0.4170653382794733,0.0,0.4170653382794733,0.4170653382794733
clusters,1.0,Isomap,stress_fidelity_p30__vs_truth,False,1,0.5829346617205267,0.5829346617205267,0.0,0.5829346617205267,0.5829346617205267
clusters,1.0,Isomap,stress_p50__vs_truth,False,1,0.3932423586944414,0.3932423586944414,0.0,0.3932423586944414,0.3932423586944414
clusters,1.0,Isomap,stress_fidelity_p50__vs_truth,False,1,0.6067576413055585,0.6067576413055585,0.0,0.6067576413055585,0.6067576413055585
clusters,1.0,Isomap,stress_p75__vs_truth,False,1,0.3830308109115465,0.3830308109115465,0.0,0.3830308109115465,0.3830308109115465
