minority_frac,method,seed,stochastic,shepard_p5__vs_ambient,shepard_p10__vs_ambient,shepard_p20__vs_ambient,shepard_p30__vs_ambient,shepard_p50__vs_ambient,shepard_p75__vs_ambient,shepard_p100__vs_ambient,stress_p5__vs_ambient,stress_fidelity_p5__vs_ambient,stress_p10__vs_ambient,stress_fidelity_p10__vs_ambient,stress_p20__vs_ambient,stress_fidelity_p20__vs_ambient,stress_p30__vs_ambient,stress_fidelity_p30__vs_ambient,stress_p50__vs_ambient,stress_fidelity_p50__vs_ambient,stress_p75__vs_ambient,stress_fidelity_p75__vs_ambient,stress_p100__vs_ambient,stress_fidelity_p100__vs_ambient,full_shepard,full_stress,full_stress_fidelity,shepard_p5__vs_truth,shepard_p10__vs_truth,shepard_p20__vs_truth,shepard_p30__vs_truth,shepard_p50__vs_truth,shepard_p75__vs_truth,shepard_p100__vs_truth,stress_p5__vs_truth,stress_fidelity_p5__vs_truth,stress_p10__vs_truth,stress_fidelity_p10__vs_truth,stress_p20__vs_truth,stress_fidelity_p20__vs_truth,stress_p30__vs_truth,stress_fidelity_p30__vs_truth,stress_p50__vs_truth,stress_fidelity_p50__vs_truth,stress_p75__vs_truth,stress_fidelity_p75__vs_truth,stress_p100__vs_truth,stress_fidelity_p100__vs_truth,within_majority_shepard__vs_ambient,within_minority_shepard__vs_ambient,cross_population_shepard__vs_ambient,minority_shepard__vs_ambient,recall_k5,recall_k15,recall_k30,trust_k5,trust_k15,trust_k30,cont_k5,cont_k15,cont_k30,shepard_near__vs_ambient,stress_near__vs_ambient,stress_fidelity_near__vs_ambient,near_band_pct__vs_ambient,near_band_fallback__vs_ambient,shepard_near__vs_truth,stress_near__vs_truth,stress_fidelity_near__vs_truth,near_band_pct__vs_truth,near_band_fallback__vs_truth
0.5,PCA,0,False,0.043396214575523576,0.08566749137094695,0.5113066130805164,0.46911088507145865,0.4084534170389637,0.8042795563002503,0.8834321404945095,0.4780005593719375,0.5219994406280626,0.5084196501708669,0.4915803498291331,0.6685166280664556,0.3314833719335444,0.6527145628046539,0.3472854371953461,0.6449694060071441,0.35503059399285586,0.5756599320291923,0.4243400679708077,0.4702848609184075,0.5297151390815925,0.8834321404945095,0.4702848609184075,0.5297151390815925,0.06061410173964541,0.11362133152652142,0.5320679651019922,0.4725181665806086,0.38059589546779976,0.7819949392659682,0.8119388512375535,0.48511333775576193,0.5148866622442381,0.5149928739134385,0.4850071260865615,0.5979476811988711,0.4020523188011289,0.6061320714679119,0.3938679285320881,0.6139143823975455,0.3860856176024545,0.39264827828568155,0.6073517217143185,0.30035462341446034,0.6996453765855397,0.39879297428763555,0.43200160517393943,0.660025672311871,0.8781122448467902,0.032,0.09653333333333333,0.18409999999999999,0.8584540322580645,0.8635273967929035,0.8706552819975555,0.9079487903225807,0.9125510064824292,0.9215142308363891,0.0785556612370279,0.49960641149550633,0.5003935885044937,9.93933933933934,0.0,0.09836720243505293,0.504469777477751,0.495530222522249,9.90990990990991,0.0
0.5,Isomap,0,False,0.007621785845872529,-0.0075882835620079,0.3937194502437967,0.35244246774554033,0.278805717189226,0.6419705283528743,0.681906748381788,0.5192264815145139,0.4807735184854861,0.5332341964957821,0.4667658035042179,0.5710964463161894,0.4289035536838106,0.5565268106254992,0.44347318937450075,0.5429779425897086,0.45702205741029145,0.42370632792964313,0.5762936720703569,0.36314087633070574,0.6368591236692942,0.681906748381788,0.36314087633070574,0.6368591236692942,0.024674588378284172,0.05161971945290332,0.41073311972022286,0.3610991964070876,0.27798608256248747,0.6427106491330092,0.6690229308070761,0.5452048715963019,0.45479512840369807,0.5659081729861829,0.4340918270138171,0.5555051289133739,0.4444948710866261,0.5440661475762006,0.45593385242379936,0.5360393896601802,0.46396061033981983,0.367003584429414,0.6329964155705861,0.3136170964150388,0.6863829035849611,0.19956412260820916,0.34837218100458706,0.11091924664259159,0.5150283488715323,0.0418,0.10326666666666666,0.1764,0.904347379032258,0.8795773456158308,0.8666194517199232,0.866845564516129,0.8741541453428864,0.8800098480880042,-0.014310358668743025,0.5312349992992991,0.46876500070070093,9.93933933933934,0.0,0.036447420555487726,0.5588130215758038,0.4411869784241962,9.90990990990991,0.0
0.5,PyMDE,0,True,0.04669814305203541,0.09422657681281152,0.07642159868779143,0.11633689125671774,0.19232040993971486,0.582000550826525,0.6536938276675007,0.6570122359982254,0.34298776400177455,0.6493802541182506,0.3506197458817494,0.6517804201909025,0.34821957980909746,0.6396330172815872,0.36036698271841283,0.6175874781626243,0.38241252183737573,0.45831742542020987,0.5416825745797902,0.38978839422392775,0.6102116057760723,0.6536938276675007,0.38978839422392775,0.6102116057760723,0.021724509310179572,0.0326994741503869,0.07954446067614937,0.11575113398926609,0.16058570378884796,0.5693783378019273,0.616077301842845,0.6672955764511184,0.33270442354888163,0.6990812665083489,0.3009187334916511,0.7707177680881921,0.22928223191180785,0.7201974224362624,0.2798025775637376,0.6666187092154314,0.3333812907845686,0.4546212329840393,0.5453787670159607,0.38001343349098876,0.6199865665090112,0.19306659523682632,0.18754727069810956,0.4392316263413227,0.6441693906087169,0.0212,0.0646,0.11546666666666666,0.806350806451613,0.8126248379392699,0.8160341889296316,0.751616935483871,0.7531267826680313,0.7584620569233456,0.09499799968920702,0.6493089456184497,0.35069105438155035,9.93933933933934,0.0,0.036988303944997754,0.6735921699159781,0.32640783008402185,9.90990990990991,0.0
0.5,PyMDE,1,True,0.07207343076474956,0.11791427618748673,0.07629544021153131,0.12175742434156311,0.1924883242700434,0.5858766966581511,0.6545498602921572,0.6585308863778204,0.3414691136221796,0.6460610918559236,0.35393890814407636,0.6560661148872409,0.34393388511275913,0.6420912671491894,0.3579087328508106,0.619111644076085,0.380888355923915,0.45812269511145315,0.5418773048885468,0.3904157482804853,0.6095842517195147,0.6545498602921572,0.3904157482804853,0.6095842517195147,6.413626519343641e-06,0.0022899939271487403,0.06731019891880213,0.105577473449516,0.15486438781771467,0.5673504892480344,0.615079419001118,0.6598674834302399,0.34013251656976007,0.7025331480325349,0.29746685196746514,0.7758284885068607,0.2241715114931393,0.7256385766184459,0.2743614233815541,0.6701157361590762,0.32988426384092384,0.45680290623167635,0.5431970937683237,0.3814381090961296,0.6185618909038704,0.20047546892776802,0.18119779091948082,0.4435436642143583,0.6460006215255053,0.0322,0.07906666666666666,0.1398,0.8274360887096774,0.8278491299897646,0.8273257551946918,0.7604975806451613,0.7588720573183214,0.7634248297537978,0.11984674600605735,0.6457835812599046,0.35421641874009535,9.93933933933934,0.0,0.005640340521271871,0.6757432625236616,0.32425673747633843,9.90990990990991,0.0
0.5,PyMDE,2,True,0.05621111820825712,0.06555553342669533,0.08434823385669515,0.116373058443842,0.18699751940440706,0.5735739756777264,0.6512501906240649,0.6553133439516066,0.34468665604839344,0.652812225671799,0.347187774328201,0.6500418071008095,0.3499581928991905,0.6396470762420987,0.3603529237579013,0.6188376622596665,0.3811623377403335,0.46025848603564384,0.5397415139643562,0.390355116640128,0.609644883359872,0.6512501906240649,0.390355116640128,0.609644883359872,0.02023032699306069,0.04111851224583824,0.09483692828796618,0.11459110327081093,0.1508392816586005,0.5587167235184647,0.6134405165828046,0.6701997337235029,0.32980026627649706,0.6943989359144069,0.30560106408559307,0.7615055877888888,0.23849441221111123,0.7175688811256893,0.2824311188743107,0.6683349841212635,0.33166501587873654,0.4574367930421218,0.5425632069578782,0.38081887769441386,0.6191811223055861,0.1738039568731932,0.1956861977170681,0.43533938161848684,0.6435160184928914,0.0242,0.0638,0.11556666666666666,0.8063983870967741,0.8121750255885363,0.8162495896629999,0.7546173387096774,0.754022176731491,0.7588374017810372,0.06668958732124236,0.6525006096133882,0.3474993903866118,9.93933933933934,0.0,0.0415770093662433,0.6736335860170237,0.3263664139829763,9.90990990990991,0.0
0.5,PCC,0,True,0.07081484537151975,0.16251006563474846,0.6867856767286754,0.6381569097314077,0.549473530792302,0.8533603923596553,0.9211152604249454,0.5703355491714497,0.4296644508285503,0.5860681753973724,0.41393182460262756,0.5742090420043332,0.4257909579956668,0.5275725868057127,0.47242741319428727,0.49331785454777616,0.5066821454522239,0.552183313774895,0.44781668622510495,0.4553723001963558,0.5446276998036442,0.9211152604249454,0.4553723001963558,0.5446276998036442,0.047061758829818244,0.11325720626888665,0.6842863349505413,0.6264042817341954,0.5154076784504196,0.8277547103672644,0.8612762216958627,0.5945002561169926,0.40549974388300736,0.6002949167670679,0.3997050832329321,0.44903688837188344,0.5509631116281166,0.4356741448157034,0.5643258551842967,0.4329683330037425,0.5670316669962575,0.3606168567262968,0.6393831432737032,0.2796418072778001,0.7203581927221999,0.5594334056227511,0.5367445872442328,0.8199896647859833,0.9294677659498622,0.062,0.17113333333333333,0.32206666666666667,0.9537493951612903,0.9604891163425452,0.9691757290029684,0.9471108870967742,0.9544687819856704,0.9640560852104069,0.15356247087765884,0.583327009016559,0.416672990983441,9.93933933933934,0.0,0.0969014611825231,0.5974809580367823,0.40251904196321775,9.90990990990991,0.0
0.5,PCC,1,True,0.059938684618057,0.15192666681004227,0.6835138146999846,0.6349228312768643,0.5457962677448968,0.8524852059236696,0.9210515572984544,0.5597154435266016,0.44028455647339837,0.5767519522423317,0.42324804775766833,0.5753011299527927,0.4246988700472073,0.5266252684966347,0.4733747315033653,0.4933890851319958,0.5066109148680042,0.5538484484819528,0.4461515515180472,0.45660186213533466,0.5433981378646653,0.9210515572984544,0.45660186213533466,0.5433981378646653,0.04998399192930655,0.12568073934309001,0.68489842316324,0.6284263085767847,0.5219577819358991,0.8295923589584324,0.8615924692552247,0.5849351090954152,0.41506489090458476,0.5873552212324766,0.41264477876752337,0.44989475188083783,0.5501052481191622,0.43366140785090695,0.5663385921490931,0.43256448533511177,0.5674355146648882,0.3622456888051182,0.6377543111948818,0.28081856733161137,0.7191814326683886,0.5479562958519666,0.540747714512612,0.8231478093669164,0.9305530577963499,0.0624,0.16846666666666668,0.32316666666666666,0.9548449596774193,0.9618693961105425,0.9707065479308539,0.9470046370967742,0.9548180825656772,0.9644795529945871,0.14331212229910228,0.5736069195524388,0.4263930804475612,9.93933933933934,0.0,0.11011243345575387,0.5844493723397328,0.4155506276602672,9.90990990990991,0.0
0.5,PCC,2,True,0.08371507995053704,0.17900352810376435,0.6854809029519514,0.634323528617746,0.547304469689556,0.8522830563885018,0.920945734720822,0.5750904684343734,0.4249095315656266,0.5909269432433162,0.4090730567566838,0.5689281085008987,0.4310718914991013,0.5226166963578097,0.4773833036421903,0.49140815835837126,0.5085918416416287,0.553710382133091,0.446289617866909,0.4566200288066498,0.5433799711933502,0.920945734720822,0.4566200288066498,0.5433799711933502,0.049248856293255115,0.11636527276705971,0.677789720102143,0.6183932849805259,0.5162498176396739,0.8283431699356141,0.8610760545024015,0.599312302259959,0.400687697740041,0.6014928590528111,0.39850714094718886,0.44751080163793405,0.5524891983620659,0.4362082386906352,0.5637917613093648,0.4321307600936338,0.5678692399063662,0.36250616289180215,0.6374938371081978,0.281123702629956,0.718876297370044,0.5532637062138648,0.5388861605749586,0.8208000840765387,0.9297873715459992,0.06620000000000001,0.1728,0.32739999999999997,0.9533995967741935,0.9599217331968611,0.9689326698096735,0.9463245967741936,0.9532576595018765,0.962485140562249,0.17034976154943185,0.5884236007504311,0.4115763992495689,9.93933933933934,0.0,0.09764236740990807,0.6056530901251327,0.3943469098748673,9.90990990990991,0.0
0.5,t-SNE,0,True,0.3597082081697185,0.4544773655492295,0.8037635254121678,0.6812231938241445,0.4856095277382044,0.49500252099572856,0.436295119908062,0.43645111943027914,0.5635488805697209,0.8385927160474149,0.16140728395258508,0.6684933693906469,0.33150663060935315,0.5652140137043874,0.4347859862956126,0.473078697983834,0.526921302016166,0.41432336052869967,0.5856766394713003,0.39113748360760525,0.6088625163923947,0.436295119908062,0.39113748360760525,0.6088625163923947,0.029238054707691117,0.10334171195965214,0.762683338812007,0.6713125300482816,0.4954247327165226,0.4988437748316549,0.44067458058545145,0.4596281642244506,0.5403718357755494,0.7161710699844784,0.28382893001552156,0.3719299450577769,0.6280700549422231,0.3497113620186371,0.6502886379813628,0.33948263600911704,0.660517363990883,0.3929083543778138,0.6070916456221862,0.3849238443165869,0.6150761556834131,0.47692198045644035,0.49396014128126337,-0.013311001807878382,0.3455562208649437,0.258,0.3354666666666667,0.45803333333333335,0.9736768145161291,0.9758453087683384,0.9826697747511787,0.981319556451613,0.9803179802115319,0.9849146499039637,0.4461682352175843,0.7932015393392446,0.20679846066075536,9.93933933933934,0.0,0.07866507131949985,0.46727497847481986,0.5327250215251802,9.90990990990991,0.0
0.5,t-SNE,1,True,0.3533511291200886,0.45358683907437813,0.8048350069678809,0.6808690492644189,0.47302303696712317,0.2911677532813044,0.20947409928734087,0.43545202861052495,0.564547971389475,0.8695470633487354,0.13045293665126456,0.6750494090477194,0.3249505909522806,0.5717679879642168,0.4282320120357832,0.48141657611842453,0.5185834238815754,0.4496533105553216,0.5503466894446785,0.4307951409098006,0.5692048590901995,0.20947409928734087,0.4307951409098006,0.5692048590901995,0.027342433992891275,0.1004519276518451,0.7624713213597534,0.6687907678904056,0.474401153448058,0.2896975916196824,0.20964088629895,0.4588384609200371,0.5411615390799629,0.7355334922606115,0.2644665077393885,0.374640180783759,0.6253598192162411,0.3561942921221952,0.6438057078778048,0.35151084656863724,0.6484891534313628,0.4770406072210667,0.5229593927789333,0.4646273688062485,0.5353726311937514,0.4772780693075131,0.4741560122910033,0.007697318668551444,0.1521401153041855,0.2556,0.33053333333333335,0.455,0.9734828629032258,0.9758039576936199,0.982595983935743,0.9812834677419355,0.9802841351074718,0.9848418369128689,0.44611119460131776,0.8264204653880295,0.1735795346119705,9.93933933933934,0.0,0.07569576650122853,0.4678892994034306,0.5321107005965694,9.90990990990991,0.0
