method,minority_frac,metric,median,ci_lo,ci_hi,n_runs
PyMDE,0.05,within_majority_shepard__vs_ambient,0.48921331279993713,0.48119571201369177,0.603677061219799,3
PyMDE,0.05,within_minority_shepard__vs_ambient,0.017739539535226816,-0.013111894023514788,0.0772573238104377,3
PyMDE,0.05,cross_population_shepard__vs_ambient,0.11878057247304925,0.06736538317090986,0.1556617940738084,3
PyMDE,0.1,full_shepard,0.5784820156542787,0.5722128384969006,0.6088979348349642,3
PyMDE,0.1,shepard_p5__vs_ambient,0.03375383302313229,0.019463232148361903,0.058644236745330945,3
PyMDE,0.1,minority_shepard__vs_ambient,0.040888247915031005,0.016287671753263542,0.04601663239135335,3
PyMDE,0.1,within_majority_shepard__vs_ambient,0.35912325291990754,0.34325712987966733,0.4241368044943626,3
PyMDE,0.1,within_minority_shepard__vs_ambient,0.046672497982818605,0.029997049490809696,0.04744388240612197,3
PyMDE,0.1,cross_population_shepard__vs_ambient,0.07990032341491775,0.06175820964364094,0.09813372136720995,3
PyMDE,0.25,full_shepard,0.6717375576439512,0.653338157238968,0.685178030862543,3
PyMDE,0.25,shepard_p5__vs_ambient,0.05571383513997735,0.03348949442963271,0.06410220211635388,3
PyMDE,0.25,minority_shepard__vs_ambient,0.3697683967189851,0.2986210496935956,0.39024558497477746,3
PyMDE,0.25,within_majority_shepard__vs_ambient,0.350331164619011,0.30836627878549694,0.5402683906982871,3
PyMDE,0.25,within_minority_shepard__vs_ambient,0.1343430088761114,0.11683253686001845,0.13531380957842618,3
PyMDE,0.25,cross_population_shepard__vs_ambient,0.2647964336235178,0.19920812747836375,0.28935739002509214,3
PyMDE,0.5,full_shepard,0.6536938276675007,0.6512501906240649,0.6545498602921572,3
PyMDE,0.5,shepard_p5__vs_ambient,0.05621111820825712,0.04669814305203541,0.07207343076474956,3
PyMDE,0.5,minority_shepard__vs_ambient,0.6441693906087169,0.6435160184928914,0.6460006215255053,3
PyMDE,0.5,within_majority_shepard__vs_ambient,0.19306659523682632,0.1738039568731932,0.20047546892776802,3
PyMDE,0.5,within_minority_shepard__vs_ambient,0.18754727069810956,0.18119779091948082,0.1956861977170681,3
