method,outlier_factor,metric,median,ci_lo,ci_hi,n_runs
Isomap,1.5,full_shepard,0.47913850927791046,0.47913850927791046,0.47913850927791046,1
Isomap,1.5,shepard_p5__vs_ambient,0.10206804903363945,0.10206804903363945,0.10206804903363945,1
Isomap,1.5,outlier_shepard__vs_ambient,0.10881848968563204,0.10881848968563204,0.10881848968563204,1
Isomap,1.5,pair_angle_2d_max,1.5222392911602085,1.5222392911602085,1.5222392911602085,1
Isomap,2.0,full_shepard,0.4795944507959614,0.4795944507959614,0.4795944507959614,1
Isomap,2.0,shepard_p5__vs_ambient,0.10187159781403986,0.10187159781403986,0.10187159781403986,1
Isomap,2.0,outlier_shepard__vs_ambient,0.10500162817228402,0.10500162817228402,0.10500162817228402,1
Isomap,2.0,pair_angle_2d_max,1.7883853698068854,1.7883853698068854,1.7883853698068854,1
Isomap,3.0,full_shepard,0.4874052890707523,0.4874052890707523,0.4874052890707523,1
Isomap,3.0,shepard_p5__vs_ambient,0.10159845506986984,0.10159845506986984,0.10159845506986984,1
Isomap,3.0,outlier_shepard__vs_ambient,0.08375965939555444,0.08375965939555444,0.08375965939555444,1
Isomap,3.0,pair_angle_2d_max,1.8357189131277554,1.8357189131277554,1.8357189131277554,1
Isomap,5.0,full_shepard,0.48716873606309147,0.48716873606309147,0.48716873606309147,1
Isomap,5.0,shepard_p5__vs_ambient,0.10069450018339826,0.10069450018339826,0.10069450018339826,1
Isomap,5.0,outlier_shepard__vs_ambient,0.05586994202047997,0.05586994202047997,0.05586994202047997,1
Isomap,5.0,pair_angle_2d_max,1.6464075122862603,1.6464075122862603,1.6464075122862603,1
Isomap,8.0,full_shepard,0.4820130012617222,0.4820130012617222,0.4820130012617222,1
Isomap,8.0,shepard_p5__vs_ambient,0.09988240919592666,0.09988240919592666,0.09988240919592666,1
Isomap,8.0,outlier_shepard__vs_ambient,0.05513864778507012,0.05513864778507012,0.05513864778507012,1
Isomap,8.0,pair_angle_2d_max,1.294031080474325,1.294031080474325,1.294031080474325,1
PCA,1.5,full_shepard,0.5910556148279723,0.5910556148279723,0.5910556148279723,1
PCA,1.5,shepard_p5__vs_ambient,0.2835847761301929,0.2835847761301929,0.2835847761301929,1
PCA,1.5,outlier_shepard__vs_ambient,0.21889226826046257,0.21889226826046257,0.21889226826046257,1
PCA,1.5,pair_angle_2d_max,2.5409637263874645,2.5409637263874645,2.5409637263874645,1
