method,outlier_factor,metric,median,ci_lo,ci_hi,n_runs
UMAP,5.0,shepard_p5__vs_ambient,0.30746241656593454,0.3023916733552603,0.3080297766534951,3
UMAP,5.0,outlier_shepard__vs_ambient,-0.014549381434697127,-0.021375889938046025,0.015582026225615771,3
UMAP,5.0,pair_angle_2d_max,0.5435492875833103,0.2514923373858504,0.6146762101274462,3
UMAP,8.0,full_shepard,0.47121755124464804,0.4634783439408381,0.471883055508449,3
UMAP,8.0,shepard_p5__vs_ambient,0.30802434440939747,0.3057577529770171,0.3107749748337826,3
UMAP,8.0,outlier_shepard__vs_ambient,-0.002974941439720938,-0.005815823336564549,0.011460763751672256,3
UMAP,8.0,pair_angle_2d_max,0.24205109872181066,0.2187600034987195,0.4089825267466751,3
t-SNE,1.5,full_shepard,0.5052520290205065,0.49726024003234043,0.5163007425735738,3
t-SNE,1.5,shepard_p5__vs_ambient,0.34191701744321856,0.34176924861049085,0.34853124548251074,3
t-SNE,1.5,outlier_shepard__vs_ambient,0.09567961076215944,0.07959058897514411,0.11159343773309059,3
t-SNE,1.5,pair_angle_2d_max,0.001454959806552447,0.00021874440602344562,0.011680086233351684,3
t-SNE,2.0,full_shepard,0.5122582876946027,0.49804053709439555,0.5195507277153999,3
t-SNE,2.0,shepard_p5__vs_ambient,0.3459453906743717,0.34038235092508407,0.3484273182979084,3
t-SNE,2.0,outlier_shepard__vs_ambient,0.0819182683789626,0.06254298795952033,0.08516924242000504,3
t-SNE,2.0,pair_angle_2d_max,5.9027813093334174e-05,5.3009649946733986e-05,0.004069478120014809,3
t-SNE,3.0,full_shepard,0.5185968500216244,0.4941544631349513,0.5266005467367145,3
t-SNE,3.0,shepard_p5__vs_ambient,0.3460622944995033,0.34112215756160796,0.35057168052905513,3
t-SNE,3.0,outlier_shepard__vs_ambient,0.07040064097810056,0.056990794513331756,0.07213579499995014,3
t-SNE,3.0,pair_angle_2d_max,0.002489497667874945,0.001678985763296863,0.0038074808017346143,3
t-SNE,5.0,full_shepard,0.5037173758416305,0.4989571045559099,0.5135271811306011,3
