method,dim,metric,median,ci_lo,ci_hi,n_runs
toorPIA-embedding,80,silhouette_2d,0.3412440013384054,0.3412440013384054,0.3412440013384054,1
toorPIA-embedding,80,tight_over_compression,0.01155728539089728,0.01155728539089728,0.01155728539089728,1
toorPIA-embedding,80,recall_k15,0.04426666666666667,0.04426666666666667,0.04426666666666667,1
toorPIA-embedding,200,shepard_p100__vs_truth,0.35215553103805974,0.35215553103805974,0.35215553103805974,1
toorPIA-embedding,200,shepard_p20__vs_truth,0.00015951860697255128,0.00015951860697255128,0.00015951860697255128,1
toorPIA-embedding,200,full_shepard,0.477694530865199,0.477694530865199,0.477694530865199,1
toorPIA-embedding,200,shepard_p5__vs_ambient,0.19754950424107517,0.19754950424107517,0.19754950424107517,1
toorPIA-embedding,200,knn_acc_k10,0.92,0.92,0.92,1
toorPIA-embedding,200,silhouette_2d,0.2855026407271996,0.2855026407271996,0.2855026407271996,1
toorPIA-embedding,200,tight_over_compression,0.010898794768083744,0.010898794768083744,0.010898794768083744,1
toorPIA-embedding,200,recall_k15,0.028533333333333334,0.028533333333333334,0.028533333333333334,1
toorPIA-embedding,300,shepard_p100__vs_truth,0.25390589717041306,0.25390589717041306,0.25390589717041306,1
toorPIA-embedding,300,shepard_p20__vs_truth,0.007889232291153955,0.007889232291153955,0.007889232291153955,1
toorPIA-embedding,300,full_shepard,0.4619748107689406,0.4619748107689406,0.4619748107689406,1
toorPIA-embedding,300,shepard_p5__vs_ambient,0.18858879077919435,0.18858879077919435,0.18858879077919435,1
toorPIA-embedding,300,knn_acc_k10,0.767,0.767,0.767,1
toorPIA-embedding,300,silhouette_2d,0.17256798691892378,0.17256798691892378,0.17256798691892378,1
toorPIA-embedding,300,tight_over_compression,0.010355822789921303,0.010355822789921303,0.010355822789921303,1
toorPIA-embedding,300,recall_k15,0.021933333333333336,0.021933333333333336,0.021933333333333336,1
toorPIA-embedding,400,shepard_p100__vs_truth,0.05176877698110814,0.05176877698110814,0.05176877698110814,1
toorPIA-embedding,400,shepard_p20__vs_truth,0.0013543927892791662,0.0013543927892791662,0.0013543927892791662,1
toorPIA-embedding,400,full_shepard,0.4535207476747871,0.4535207476747871,0.4535207476747871,1
toorPIA-embedding,400,shepard_p5__vs_ambient,0.20115631225380523,0.20115631225380523,0.20115631225380523,1
toorPIA-embedding,400,knn_acc_k10,0.462,0.462,0.462,1
toorPIA-embedding,400,silhouette_2d,0.0018512895583633999,0.0018512895583633999,0.0018512895583633999,1
toorPIA-embedding,400,tight_over_compression,0.007789562547479459,0.007789562547479459,0.007789562547479459,1
toorPIA-embedding,400,recall_k15,0.021666666666666667,0.021666666666666667,0.021666666666666667,1
toorPIA-embedding,500,shepard_p100__vs_truth,0.13375238611139964,0.13375238611139964,0.13375238611139964,1
toorPIA-embedding,500,shepard_p20__vs_truth,-0.0013634543554469378,-0.0013634543554469378,-0.0013634543554469378,1
toorPIA-embedding,500,full_shepard,0.44887587186756045,0.44887587186756045,0.44887587186756045,1
toorPIA-embedding,500,shepard_p5__vs_ambient,0.21875606863205804,0.21875606863205804,0.21875606863205804,1
toorPIA-embedding,500,knn_acc_k10,0.574,0.574,0.574,1
toorPIA-embedding,500,silhouette_2d,0.043827759294236844,0.043827759294236844,0.043827759294236844,1
toorPIA-embedding,500,tight_over_compression,0.008829434209851427,0.008829434209851427,0.008829434209851427,1
toorPIA-embedding,500,recall_k15,0.018133333333333335,0.018133333333333335,0.018133333333333335,1
toorPIA-embedding,768,shepard_p100__vs_truth,0.019534980862279176,0.019534980862279176,0.019534980862279176,1
toorPIA-embedding,768,shepard_p20__vs_truth,0.0017379840409503368,0.0017379840409503368,0.0017379840409503368,1
toorPIA-embedding,768,full_shepard,0.433337434486541,0.433337434486541,0.433337434486541,1
toorPIA-embedding,768,shepard_p5__vs_ambient,0.20254790333794837,0.20254790333794837,0.20254790333794837,1
toorPIA-embedding,768,knn_acc_k10,0.356,0.356,0.356,1
toorPIA-embedding,768,silhouette_2d,-0.01974918652149721,-0.01974918652149721,-0.01974918652149721,1
toorPIA-embedding,768,tight_over_compression,0.007490441742363529,0.007490441742363529,0.007490441742363529,1
toorPIA-embedding,768,recall_k15,0.017066666666666667,0.017066666666666667,0.017066666666666667,1
