dataset,snr,method,seed,stochastic,n,d,shepard_p5__vs_ambient,shepard_p10__vs_ambient,shepard_p20__vs_ambient,shepard_p30__vs_ambient,shepard_p50__vs_ambient,shepard_p75__vs_ambient,shepard_p100__vs_ambient,stress_p5__vs_ambient,stress_fidelity_p5__vs_ambient,stress_p10__vs_ambient,stress_fidelity_p10__vs_ambient,stress_p20__vs_ambient,stress_fidelity_p20__vs_ambient,stress_p30__vs_ambient,stress_fidelity_p30__vs_ambient,stress_p50__vs_ambient,stress_fidelity_p50__vs_ambient,stress_p75__vs_ambient,stress_fidelity_p75__vs_ambient,stress_p100__vs_ambient,stress_fidelity_p100__vs_ambient,full_shepard,full_stress,full_stress_fidelity,shepard_p5__vs_truth,shepard_p10__vs_truth,shepard_p20__vs_truth,shepard_p30__vs_truth,shepard_p50__vs_truth,shepard_p75__vs_truth,shepard_p100__vs_truth,stress_p5__vs_truth,stress_fidelity_p5__vs_truth,stress_p10__vs_truth,stress_fidelity_p10__vs_truth,stress_p20__vs_truth,stress_fidelity_p20__vs_truth,stress_p30__vs_truth,stress_fidelity_p30__vs_truth,stress_p50__vs_truth,stress_fidelity_p50__vs_truth,stress_p75__vs_truth,stress_fidelity_p75__vs_truth,stress_p100__vs_truth,stress_fidelity_p100__vs_truth,cluster_ratio_truth,cluster_ratio_2d,cluster_over_compression,osp_o0__vs_ambient,log2_osp_o0__vs_ambient,iso_rank_hd_o0__vs_ambient,iso_rank_2d_o0,iso_rank_delta_o0__vs_ambient,osp_o1__vs_ambient,log2_osp_o1__vs_ambient,iso_rank_hd_o1__vs_ambient,iso_rank_2d_o1,iso_rank_delta_o1__vs_ambient,osp_o2__vs_ambient,log2_osp_o2__vs_ambient,iso_rank_hd_o2__vs_ambient,iso_rank_2d_o2,iso_rank_delta_o2__vs_ambient,osp_o3__vs_ambient,log2_osp_o3__vs_ambient,iso_rank_hd_o3__vs_ambient,iso_rank_2d_o3,iso_rank_delta_o3__vs_ambient,osp_o4__vs_ambient,log2_osp_o4__vs_ambient,iso_rank_hd_o4__vs_ambient,iso_rank_2d_o4,iso_rank_delta_o4__vs_ambient,osp_o5__vs_ambient,log2_osp_o5__vs_ambient,iso_rank_hd_o5__vs_ambient,iso_rank_2d_o5,iso_rank_delta_o5__vs_ambient,osp_median__vs_ambient,osp_min__vs_ambient,log2_osp_median__vs_ambient,iso_rank_delta_mean__vs_ambient,pair_cohesion_dir0__vs_ambient,pair_angle_2d_dir0,pair_angle_hd_dir0__vs_ambient,pair_cohesion_dir1__vs_ambient,pair_angle_2d_dir1,pair_angle_hd_dir1__vs_ambient,pair_cohesion_dir2__vs_ambient,pair_angle_2d_dir2,pair_angle_hd_dir2__vs_ambient,pair_cohesion_median__vs_ambient,pair_angle_2d_max,recall_k5,recall_k15,recall_k30,trust_k5,trust_k15,trust_k30,cont_k5,cont_k15,cont_k30
outliers,1.0,PCC-EXCLUDED,0,True,1000,768,0.09448443249199086,0.12704593776714163,0.27141552290871535,0.7524656855669327,0.7940570161306624,0.7216575463006442,0.6999921142664618,0.6229488422183297,0.3770511577816703,0.5775318897990439,0.4224681102009561,0.6682462289602479,0.3317537710397521,0.6301635636452583,0.3698364363547417,0.47946219627677295,0.5205378037232271,0.40002387984874993,0.5999761201512501,0.40106599453717134,0.5989340054628287,0.6999921142664618,0.40106599453717134,0.5989340054628287,0.15074474234816057,0.19990611943970138,0.3366542431423677,0.7710138130591576,0.7905041757383992,0.7090477505730317,0.6857098430197082,0.6312307327554477,0.3687692672445523,0.5707818465941884,0.4292181534058116,0.5319295905075748,0.4680704094924252,0.31482627015347686,0.6851737298465231,0.26636402961966643,0.7336359703803336,0.25091117527694196,0.749088824723058,0.2814236793788803,0.7185763206211198,0.22401458201173474,0.09863408966109913,2.27116793779347,164.95175386629978,7.3659003073608735,2.0,1.0,-1.0,183.0384347940666,7.516002810222126,180.0,3.0,-177.0,176.09879705538998,7.46024124381522,11.0,4.0,-7.0,171.19222468772116,7.419473367803494,181.0,6.0,-175.0,168.5307897244174,7.396868378361732,3.0,2.0,-1.0,174.76059174443645,7.449236085685049,12.0,7.0,-5.0,172.97640821607882,164.95175386629978,7.434431475783631,-61.0,703.1965383753843,85.90802420853619,26.15011645331886,745.7488159777247,87.80018541925077,25.268072273228164,37.32438924746415,3.3837145782597386,26.589526371024775,703.1965383753843,87.80018541925077,0.0502,0.13006666666666666,0.22693333333333332,0.9185522177419355,0.926222176731491,0.9367125894883883,0.9274149193548387,0.9320137836915728,0.9402226296490309
outliers,1.0,PCC-EXCLUDED,1,True,1000,768,0.09529911814310012,0.12806512346118112,0.2728738520279056,0.7529859665815666,0.7945479961486707,0.7222919207992023,0.7004496483787263,0.6243379842644042,0.37566201573559577,0.6134348365351696,0.3865651634648304,0.6748122017644309,0.3251877982355691,0.630565129356907,0.369434870643093,0.47966532690370767,0.5203346730962923,0.40013959038927505,0.599860409610725,0.40108434756004896,0.598915652439951,0.7004496483787263,0.40108434756004896,0.598915652439951,0.15040519649924913,0.1992582531447246,0.3363931397454921,0.7709387776990436,0.7906132418125762,0.7094058256406345,0.6861834908357292,0.6971497113377623,0.30285028866223773,0.6110579535736747,0.38894204642632535,0.5436794236845259,0.45632057631547407,0.3164444533708174,0.6835555466291826,0.26697072705558206,0.7330292729444179,0.25120620293024787,0.7487937970697521,0.28157570957667544,0.7184242904233246,0.22401458201173474,0.09864894615931162,2.27082590066361,167.17532142376442,7.385218080929498,2.0,1.0,-1.0,180.93655752618378,7.499340118094743,180.0,2.0,-178.0,173.1668514412782,7.436018977585983,11.0,3.0,-8.0,176.97367488064071,7.46739096283024,181.0,5.0,-176.0,178.2863613300515,7.478052532703473,3.0,10.0,7.0,180.92803152520722,7.499272134546742,12.0,11.0,-1.0,177.6300181053461,167.17532142376442,7.472731596419057,-59.5,720.5344584159775,87.36648411035657,26.15011645331886,749.3800444318686,87.2574568181256,25.268072273228164,1024.485860540926,178.19423127953235,26.589526371024775,749.3800444318686,178.19423127953235,0.05,0.12833333333333333,0.22713333333333333,0.9186495967741936,0.9263576936199249,0.9370558756766195,0.9274262096774194,0.9322268850221768,0.9403342413130784
outliers,1.0,PCC-EXCLUDED,2,True,1000,768,0.09404901168394575,0.13000591408668208,0.2844592144400215,0.7565815262389698,0.7937509968328677,0.723528551278147,0.7081524305329608,0.5863983606171329,0.4136016393828671,0.5756656921029357,0.4243343078970643,0.6572166690262373,0.3427833309737627,0.6262870115011901,0.37371298849880985,0.4769924863880785,0.5230075136119214,0.39839249239407304,0.601607507605927,0.399559309172321,0.6004406908276789,0.7081524305329608,0.399559309172321,0.6004406908276789,0.15043282964468982,0.20644379540140476,0.3528449420561605,0.7762729837368959,0.791310966630426,0.7088085347511257,0.6936612647728726,0.6329681968651987,0.3670318031348013,0.56890030099661,0.43109969900338996,0.5174691219912136,0.48253087800878636,0.309774737740278,0.690225262259722,0.2647469406255148,0.7352530593744853,0.25047366750318506,0.7495263324968149,0.2795603585746265,0.7204396414253735,0.22401458201173474,0.10177389516486124,2.2011006029479225,167.0839230604738,7.384429112660546,2.0,1.0,-1.0,169.934136410366,7.408831880337466,180.0,3.0,-177.0,161.45707410655967,7.335006842587072,11.0,5.0,-6.0,165.94805094796772,7.374587874905225,181.0,4.0,-177.0,166.49588374229904,7.379342699936247,3.0,6.0,3.0,172.01774841076488,7.426413616464814,12.0,2.0,-10.0,166.78990340138643,161.45707410655967,7.381888147900074,-61.333333333333336,735.3503278274484,93.9059906248762,26.15011645331886,29.783325452754507,2.3276303711348003,25.268072273228164,693.2758886214443,88.86087304683866,26.589526371024775,693.2758886214443,93.9059906248762,0.0482,0.12906666666666666,0.22699999999999998,0.9199592741935484,0.9265383828045036,0.9374806705081195,0.9277352822580646,0.9326131695667008,0.9406296490309063
