dataset,method,knob,value,metric,median,ci_lo,ci_hi,n_runs
clusters,UMAP,n_neighbors,15,recall_k15,0.1894,0.1888,0.19766666666666666,3
clusters,UMAP,n_neighbors,30,full_shepard,0.358080660755534,0.35001532677027875,0.36736712663281235,3
clusters,UMAP,n_neighbors,30,shepard_near__vs_ambient,0.09878181457542518,0.08285495027538475,0.10066797223355772,3
clusters,UMAP,n_neighbors,30,recall_k15,0.18033333333333335,0.1768,0.18313333333333331,3
clusters,UMAP,n_neighbors,50,full_shepard,0.34909366188289215,0.34331016873445513,0.35988604929114865,3
clusters,UMAP,n_neighbors,50,shepard_near__vs_ambient,0.09362030826212353,0.08630369398298923,0.09924619562069838,3
clusters,UMAP,n_neighbors,50,recall_k15,0.16606666666666667,0.16333333333333336,0.1696,3
clusters,UMAP,n_neighbors,100,full_shepard,0.3656662130920693,0.34307391179319197,0.3668386613181572,3
clusters,UMAP,n_neighbors,100,shepard_near__vs_ambient,0.07678170990691773,0.07258540209610442,0.09313991860265508,3
clusters,UMAP,n_neighbors,100,recall_k15,0.1624,0.1618,0.1673333333333333,3
clusters,t-SNE,perplexity,5,full_shepard,0.3704607226644036,0.3690037920381098,0.3749134895016334,3
clusters,t-SNE,perplexity,5,shepard_near__vs_ambient,0.11127668741284381,0.1056448332099602,0.11224375688430771,3
clusters,t-SNE,perplexity,5,recall_k15,0.22366666666666665,0.22333333333333333,0.224,3
clusters,t-SNE,perplexity,15,full_shepard,0.36845205993700547,0.35206567441609365,0.3714408586089554,3
clusters,t-SNE,perplexity,15,shepard_near__vs_ambient,0.23151423344414904,0.23064912805485463,0.23825063991143353,3
clusters,t-SNE,perplexity,15,recall_k15,0.2584666666666667,0.25753333333333334,0.2597333333333333,3
clusters,t-SNE,perplexity,30,full_shepard,0.3668875059269092,0.36435721339217286,0.3737973357293161,3
clusters,t-SNE,perplexity,30,shepard_near__vs_ambient,0.39339186860447206,0.39070827168631644,0.39357490590402994,3
clusters,t-SNE,perplexity,30,recall_k15,0.26986666666666664,0.2634666666666667,0.27133333333333337,3
clusters,t-SNE,perplexity,50,full_shepard,0.36515709584901407,0.3454157812458966,0.3662772489750241,3
clusters,t-SNE,perplexity,50,shepard_near__vs_ambient,0.4680880441604742,0.4637391603983504,0.4693390557601905,3
clusters,t-SNE,perplexity,50,recall_k15,0.2508,0.249,0.25506666666666666,3
clusters,t-SNE,perplexity,100,full_shepard,0.36647152638036096,0.34780650890153775,0.36938685297704954,3
clusters,t-SNE,perplexity,100,shepard_near__vs_ambient,0.5416598478274749,0.5409989726419132,0.5419018786506828,3
clusters,t-SNE,perplexity,100,recall_k15,0.20759999999999998,0.2046,0.20773333333333335,3
density,DREAMS,reg_lambda,0.05,full_shepard,0.38827297016042495,0.38827297016042495,0.38827297016042495,1
density,DREAMS,reg_lambda,0.05,shepard_near__vs_ambient,0.3691993283090804,0.3691993283090804,0.3691993283090804,1
density,DREAMS,reg_lambda,0.05,recall_k15,0.2568,0.2568,0.2568,1
density,DREAMS,reg_lambda,0.1,full_shepard,0.5722206245910922,0.5722206245910922,0.5722206245910922,1
density,DREAMS,reg_lambda,0.1,shepard_near__vs_ambient,0.36111363926932205,0.36111363926932205,0.36111363926932205,1
density,DREAMS,reg_lambda,0.1,recall_k15,0.2472,0.2472,0.2472,1
density,DREAMS,reg_lambda,0.15,full_shepard,0.5847876243880727,0.5847876243880727,0.5847876243880727,1
density,DREAMS,reg_lambda,0.15,shepard_near__vs_ambient,0.36255557047398973,0.36255557047398973,0.36255557047398973,1
density,DREAMS,reg_lambda,0.15,recall_k15,0.24486666666666668,0.24486666666666668,0.24486666666666668,1
density,DREAMS,reg_lambda,0.3,full_shepard,0.5973052137861867,0.5973052137861867,0.5973052137861867,1
density,DREAMS,reg_lambda,0.3,shepard_near__vs_ambient,0.37758362515986094,0.37758362515986094,0.37758362515986094,1
density,DREAMS,reg_lambda,0.3,recall_k15,0.2308,0.2308,0.2308,1
density,DREAMS,reg_lambda,0.5,full_shepard,0.6237534429289668,0.6237534429289668,0.6237534429289668,1
density,DREAMS,reg_lambda,0.5,shepard_near__vs_ambient,0.40452268505686534,0.40452268505686534,0.40452268505686534,1
density,DREAMS,reg_lambda,0.5,recall_k15,0.19906666666666667,0.19906666666666667,0.19906666666666667,1
density,UMAP,n_neighbors,5,full_shepard,0.12775458524685065,0.11544239416396158,0.13460754738090608,3
density,UMAP,n_neighbors,5,shepard_near__vs_ambient,0.037157091296598756,0.033206873546484314,0.0523579844763358,3
density,UMAP,n_neighbors,5,recall_k15,0.2132,0.2112,0.2189333333333333,3
density,UMAP,n_neighbors,15,full_shepard,0.15608996932477168,0.1543452007311615,0.16183737971383125,3
density,UMAP,n_neighbors,15,shepard_near__vs_ambient,0.05536803726409555,0.0402420391907663,0.05726841423798119,3
density,UMAP,n_neighbors,15,recall_k15,0.20973333333333333,0.206,0.2132,3
density,UMAP,n_neighbors,30,full_shepard,0.19895112228556808,0.19724392088529424,0.19955808716545784,3
